,water2,water3,xtilt,ytilt
105,22.18,24.8,-5.424957272319506,-1.253898382117173
106,22.17,24.8,-5.426166465965067,-1.254348209930838
107,22.15,24.8,-5.4286325564767,-1.2541669244268714
108,22.14,24.79,-5.430191562821116,-1.2557042199327277
109,22.14,24.79,-5.430136178332544,-1.2551646342427119
110,22.13,24.78,-5.434622153799803,-1.2548457646398585
111,22.12,24.77,-5.434142196308812,-1.2560365234804256
112,22.12,24.77,-5.435379237977727,-1.257603115179904
113,22.11,24.76,-5.43595869615367,-1.2590775421115212
114,22.09,24.76,-5.436002611288613,-1.2590972745839102
115,22.09,24.75,-5.437048490292857,-1.259285136763975
116,22.08,24.74,-5.439151834626315,-1.259938599575413
117,22.08,24.74,-5.438124739184109,-1.2603412265541314
118,22.08,24.74,-5.43861609475011,-1.261140059487782
119,22.07,24.72,-5.439153195583297,-1.2624376566848554
120,22.06,24.71,-5.438206369117845,-1.2629422522836078
121,22.05,24.72,-5.438502492481558,-1.263086346961529
122,22.05,24.71,-5.441129808631726,-1.2633449867678452
123,22.06,24.71,-5.439421555612176,-1.2646201416192688
124,22.06,24.69,-5.4396899221777115,-1.2640791748550144
125,22.05,24.69,-5.4390199073257035,-1.2646652652098287
126,22.04,24.68,-5.43893101760754,-1.2649922057668719
127,22.04,24.68,-5.438652477586748,-1.2636726060324948
128,22.04,24.67,-5.440218614537584,-1.2644083179467904
129,22.04,24.66,-5.438586882026922,-1.2647419089603562
130,22.04,24.66,-5.438870020461706,-1.2643586259004562
131,22.03,24.65,-5.438210098278017,-1.2636544689815647
132,22.03,24.65,-5.4383036814884,-1.2645611205267286
133,22.04,24.65,-5.437899040819544,-1.2635841513782229
134,22.04,24.64,-5.437395013899194,-1.264567209090779
135,22.03,24.64,-5.438104988553204,-1.264453714903935
136,22.03,24.63,-5.4369077134595525,-1.2633035445140575
137,22.04,24.63,-5.437018600532327,-1.2618801483559683
138,22.03,24.63,-5.43765267014291,-1.2629458122745207
139,22.03,24.63,-5.437623706879215,-1.2623573045755738
140,22.04,24.63,-5.438063798205478,-1.2648852446386587
141,22.03,24.63,-5.436092134620582,-1.262537638303022
142,22.03,24.62,-5.435869533381169,-1.2618613389939926
143,22.03,24.61,-5.435310375150184,-1.2608017736800208
144,22.03,24.61,-5.434257908991259,-1.260969839265362
145,22.03,24.61,-5.434978684885252,-1.2607380733203588
146,22.03,24.6,-5.435525462068024,-1.2636336800085926
147,22.04,24.59,-5.434936053435364,-1.2605037825627001
148,22.03,24.59,-5.433359793465519,-1.258779613825597
149,22.04,24.59,-5.433694212820358,-1.2584497919417001
150,22.04,24.59,-5.4338593935925195,-1.2592854571158245
151,22.03,24.59,-5.432165339732057,-1.2424373084176838
